tvl
"{'date': 1636588800, 'totalLiquidityUSD': 1811798578.9595635}"
"{'date': 1636675200, 'totalLiquidityUSD': 1857500913.704025}"
"{'date': 1636761600, 'totalLiquidityUSD': 1830413756.0285468}"
"{'date': 1636848000, 'totalLiquidityUSD': 1821481453.1854906}"
"{'date': 1636934400, 'totalLiquidityUSD': 1819896898.670786}"
"{'date': 1637020800, 'totalLiquidityUSD': 1732076450.2347023}"
"{'date': 1637107200, 'totalLiquidityUSD': 1617658581.4044955}"
"{'date': 1637193600, 'totalLiquidityUSD': 1656102532.7006986}"
"{'date': 1637280000, 'totalLiquidityUSD': 1525164003.7006319}"
"{'date': 1637366400, 'totalLiquidityUSD': 1619619273.405712}"
"{'date': 1637452800, 'totalLiquidityUSD': 1673565331.7463098}"
"{'date': 1637539200, 'totalLiquidityUSD': 1626519889.1386983}"
"{'date': 1637625600, 'totalLiquidityUSD': 1547390660.3672252}"
"{'date': 1637712000, 'totalLiquidityUSD': 1600932832.656929}"
"{'date': 1637798400, 'totalLiquidityUSD': 1562029801.414335}"
"{'date': 1637884800, 'totalLiquidityUSD': 1647586350.3915715}"
"{'date': 1637971200, 'totalLiquidityUSD': 1495929734.832065}"
"{'date': 1638057600, 'totalLiquidityUSD': 1503179710.9891665}"
"{'date': 1638144000, 'totalLiquidityUSD': 1528933026.0790203}"
"{'date': 1638230400, 'totalLiquidityUSD': 1590673581.50459}"
"{'date': 1638316800, 'totalLiquidityUSD': 1623554317.1309896}"
"{'date': 1638403200, 'totalLiquidityUSD': 1595300543.831376}"
"{'date': 1638489600, 'totalLiquidityUSD': 1563985560.3237817}"
"{'date': 1638576000, 'totalLiquidityUSD': 1484889836.0582612}"
"{'date': 1638662400, 'totalLiquidityUSD': 1374767369.0318472}"
"{'date': 1638748800, 'totalLiquidityUSD': 1340792175.260734}"
"{'date': 1638835200, 'totalLiquidityUSD': 1389271272.5175521}"
"{'date': 1638921600, 'totalLiquidityUSD': 1381670878.8774645}"
"{'date': 1639008000, 'totalLiquidityUSD': 1448232433.1783772}"
"{'date': 1639094400, 'totalLiquidityUSD': 1360862479.6557622}"
"{'date': 1639180800, 'totalLiquidityUSD': 1287661214.5345223}"
"{'date': 1639267200, 'totalLiquidityUSD': 1335816973.5314622}"
"{'date': 1639353600, 'totalLiquidityUSD': 1309044336.0824406}"
